epoch,train_loss,val_cindex,lr,epoch_sec
1,1.5696972897385384,0.44343318652556024,0.0001,1081.47
2,1.580832528991821,0.436451757908078,0.0001,1232.33
3,1.5796899749828985,0.4614579790368787,0.0001,1449.91
4,1.5669745762888996,0.44122418774877725,0.0001,1240.09
5,1.5474161037875696,0.44262996363673246,0.0001,1272.6
6,1.5545786516354108,0.436219755986863,0.0001,1241.57
7,1.5934613359114105,0.4431010307695038,5e-05,1234.96
8,1.5292974125209073,0.43705249980711786,5e-05,1236.83
9,1.5318959468977646,0.43485961982111404,5e-05,1278.18
10,1.5354750064996103,0.41656642227682084,5e-05,1275.35
11,1.5422608364885226,0.4253191067799256,2.5e-05,1262.47
